NO,"NO SURAT MASUK","NOMOR SURAT",TANGGAL,PERIHAL,"TERIMA DARI",ISI,"TANGGAL DITERUSKAN",CATATAN,KATEGORI,"TANGGAL PELAKSANAAN","WAKTU PELAKSANAAN","TEMPAT PELAKSANAAN"
831,978,028.Apr/2022,,2022-04-18,"Permohonan ijin kegiatan dan peminjaman perlengkapan","Bank Mandiri","Permohonan ijin kegiatan dan peminjaman perlengkapan",2022/04/22,"Mas danang, Pak Untung Fasilitasi",PERMOHONAN,2022/04/22,16:30-18:00,"Selasar STP"
832,977,027.Apr/2022,,2022-04-20,"Permohonan permintaan ruang seminar Solo Technopark pelatihan call center dan KWU bagi penyandang disabilitas","Bank Mandiri","Permohonan permintaan ruang seminar Solo Technopark pelatihan call center dan KWU bagi penyandang disabilitas",2022/04/21,"Mas Susilo, Mas Danang, Pak Untung Dasilitasi",PERMOHONAN,"17 Apr - 19 Apr 2022",09:00-17:00,"Ruang Seminar"
833,976,026.Apr/2022,053/-55KA/SKC/04/2022,2022-04-20,"Permohonan izin tempat","Omah Sambung","Permohonan izin tempat",2022/04/21,"Pak Untung Fasilitasi",PERMOHONAN,2022/04/22,14:30--17:00,"Aula RnD"
834,975,025.Apr/2022,163/005/IV/2022,2022-04-19,"Undangan konsultasi/Studi tiru program kegiatan kelitbangan","Balitbangsda Surakarta","Undangan konsultasi/Studi tiru program kegiatan kelitbangan",2022/04/21,"Mas Danu",UNDANGAN,2022/04/21,10:30-12:00,"Balitbangsda SKA"
835,974,024.Apr/2022,,2022-04-19,"Permohohanan dukungan kursi pelatihan bagi pelaku UMKM yang tergabung dalam KOMPAS (Gofood)",Gojek,"Permohohanan dukungan kursi pelatihan bagi pelaku UMKM yang tergabung dalam KOMPAS (Gofood)",2022/04/20,Arsipkan,PERMOHONAN,2022/04/20,09:00-12:00,
836,973,023.Apr/2022,email,2022-04-18,"Finance Operation Announcement",GOTO,"Finance Operation Announcement",2022/04/19,"Bagian Keuangan",EDARAN,,,
837,972,022.Apr/2022,TM.07.00/2097,2022-04-12,"Undangan rapat koordinasi tentang potensi dan peluang investasi Kota Surakarta tahun 2022 beserta data pendukungnya","DPMPTSP Surakarta","Undangan rapat koordinasi tentang potensi dan peluang investasi Kota Surakarta tahun 2022 beserta data pendukungnya",2022/04/19,"Bu Susi",UNDANGAN,2022/04/21,9:00,"DPMPTSP SKA"
838,971,021.Apr/2022,"355.C,7-VI/BR/IV/2022",2022-04-12,"Undangan Sosialisasi Skema dan fasilitas ridest dan inovasi BRIN",UMS,"Undangan Sosialisasi Skema dan fasilitas ridest dan inovasi BRIN",2022/04/18,,UNDANGAN,2022/04/19,15:30,UMS
839,970,020.Apr/2022,B/93/IKMA/IND/IV/2022,2022-04-16,"Seminar Nasional dan Pembukaan rangkaian program startup 4 industry 2022","Dirjen INdustri kecil Menengan dan aneka kemenperin","Seminar Nasional dan Pembukaan rangkaian program startup 4 industry 2022",2022/04/18,"Bagian Inkubasi Mas Danu Hadiri",UNDANGAN,2022/04/19,09:30-14:00,"Zoom Webinar"
840,969,019.Apr/2022,,2022-04-14,"Test drive kandidat driver Shopee Xpress","Shopee Xpress","Test drive kandidat driver Shopee Xpress",2022/04/14,"Bagian Umum Mas Danang fasilitasi",PERMOHONAN,2022/04/15,15:00-16:00,
841,968,018.Apr/2022,151/PN.08/IV/2022,2022-04-14,"Permintaan data potensi dan peluang investasi","Balitbangsda Surakarta","Permintaan data potensi dan peluang investasi",2022/04/14,"Sudah dihadiri",PERMOHONAN,,,
842,967,017.Apr/2022,PG.00/1435/2022,2022-04-12,"Undangan Asistensi pengadaan barang/jasa dan optimalisasi penggunaan produk dalam egeri","SEKDA Surakarta","Undangan Asistensi pengadaan barang/jasa dan optimalisasi penggunaan produk dalam egeri",2022/04/14,"Bagian Keuangan, Bu Susi hadiri dan sosialisasi",UNDANGAN,"19 Apr - 20 Apr 2022",,
843,966,016.Apr/2022,005/IKL/RS/IV/2022,2022-04-07,"Ucapan Idul Fitri 1443H/2022 Ucapan HUT ke 22 Radar Solo","JawaPos RadarSolo","Ucapan Idul Fitri 1443H/2022 Ucapan HUT ke 22 Radar Solo",2022/04/13,"Bagian Umum, Pak Untung, Mas Oktaf",EDARAN,,,
844,965,015.Apr/2022,PM.02.01/2022,2022-04-12,"Permintaan data potensi dan peluang industri Kota Surakarta tahun 2022","Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu","Permintaan data potensi dan peluang industri Kota Surakarta tahun 2022",2022/04/12,"Bagian Keuangan, Bu Susi konsultasi ke pemimpin",PERMOHONAN,,,
845,964,014.Apr/2022,147/005/IV/2022,2022-04-11,"Undangan rakor tentang penataan sekitar kawasan STP","Balitbangsda Surakarta","Undangan rakor tentang penataan sekitar kawasan STP",2022/04/12,"Sudah dihadiri",UNDANGAN,2022/04/13,9:00,"Balitbang Surakarta"
846,963,013.Apr/2022,245/SMKBK/E.11/IV/2022,2022-04-05,"Permohonan Praktek kerja industri","SMK Bhineka Karya Surakarta","Permohonan Praktek kerja industri",2022/04/12,"Bagian Pelayanan Pak Christian, Pak Budi Fasilitasi",PERMOHONAN,,,
847,962,012.Apr/2022,B/4858/04/2022,2022-04-08,"Pelaksanaan jamsostek besi peserta macang dan atau siswa kerja praktik","BPJS KETENAGAKERJAAN","Pelaksanaan jamsostek besi peserta macang dan atau siswa kerja praktik",2022/04/11,,PERMOHONAN,,,
848,961,011.Apr/2022,071/DKL/Bid.III/SMK.W/XI/2022,2022-03-11,"Permohonan tempat PRAKERIN tahun pelajaran 2022/2023","SMK Warga Surakarta","Permohonan tempat PRAKERIN tahun pelajaran 2022/2023",2022/04/08,"Bagian Pelayanan Pak Christian, Pak Budi Fasilitasi",PERMOHONAN,,,
849,960,010.Apr/2022,RP.05/1382/2022,2022-04-07,"Undangan rapat koordinasi pengendalian operasional kegiata (RAKORPOK) Triwulan TA 2022","SEKDA Surakarta","Undangan rapat koordinasi pengendalian operasional kegiata (RAKORPOK) Triwulan TA 2022",2022/04/07,"Bu Susi",UNDANGAN,2022/04/11,9:00,"Pendhapi Gede"
850,959,009.Apr/2022,04214/HM.01.04/D7.1.5/B/04/2022,2022-04-07,"Permohonan fasilitasi kunjungan kerja program prioritas bidang industri",BAPPENAS,"Permohonan fasilitasi kunjungan kerja program prioritas bidang industri",2022/04/07,"Sudah dihadiri",PERMOHONAN,"8 Apr - 9 Apr 2022",9:00,
851,958,008.Apr/2022,7970/UN6.G/PT.01.04/2022,2022-04-07,"PErmohonan izin riset/wawancara a.n Dicky Febriansyah, NPM 7152020000","FISIP Pascasarjana UNPAD","PErmohonan izin riset/wawancara a.n Dicky Febriansyah, NPM 7152020000",2022/04/07,"Bagian Kerjasama, mas Susilo",PERMOHONAN,,,
852,957,007.Apr/2022,EXT-001/TAS/INA/MEDC/IV/2022,2022-04-06,"Permohonan Courtesy Visit","Modeo Energy Oil&Gas","Permohonan Courtesy Visit",2022/04/07,"Bagian pelayanan Pak Christian, Pak Budi",PERMOHONAN,2022/04/19,8:30,
853,956,006.Apr/2022,31/005/IV/2022,2022-04-06,"Undangan pakar awal tim investasi PT Shopee interkomunal Indonesia di UPT STP","BALITBANGDA SKA","Undangan pokok awal tim investasi PT Shopee interkomunal Indonesia di UPT STP",2022/04/06,,UNDANGAN,2022/04/07,09.00,"BALITBANGDA SKA"
854,955,005.Apr/2022,045/5/Waskita/IV/2022,2022-04-05,"Permohonan peminjaman tempat","Waskita Biro konsultan psikolog","Permohonan peminjaman tempat",2022/04/06,"Bagian Kerjasama, Mas Danang mas Susilo",PERMOHONAN,2022/04/25,8:30,"Ruang Seminar"
855,954,004.Apr/2022,email,2022-04-06,"Evaluasi dan Feedback training CSE-STP batch 1",Pertamina,"Evaluasi dan Feedback training CSE-STP batch 1",2022/04/06,"Bagian pelayanan Pak Christian, Pak Budi",UNDANGAN,,,
856,953,003.Apr/2022,136/PPC5/210/2022-585,2022-04-05,"Pendaftaran calon peserta pelatihan Confined Space Entry Attendance(CSEA) batch 2 secara ofline","SKK MIGAS","Pendaftaran calon peserta pelatihan Confined Space Entry Attendance(CSEA) batch 2 secara ofline",2022/04/06,"Bagian pelayanan Pak Christian, Pak Budi",UNDANGAN,"13 Apr - 14 Apr 2022",8:00,
857,952,002.Apr/2022,128/PN.02.00/IV/2022,2022-04-05,"Permohonan narasumber sosialisasi lomba kreativitas dan inovasi Kota Surakarta th 2022","Balitbangsda Surakarta","Permohonan narasumber sosialisasi lomba kreativitas dan inovasi Kota Surakarta th 2022",2022/04/06,"Sudah dihadiri",UNDANGAN,2022/04/12,8:30,"Megaland Hotel Solo"
858,951,001.Apr/2022,111/KM/PO/III/2022,2022-03-31,"Pemesanan Barang","PT King Manufacture","Pemesanan Barang",2022/04/01,"Bagian Pelayanan Pak Christian",PERMOHONAN,,,
859,950,069.Mar/2022,PG.00/1271/2022,2022-03-30,"Surat edaran evaluasi pengumuman Rancangan Umum Pengadaan (RUP) DPA TA 2022","Setda Surakarta","Surat edaran evaluasi pengumuman Rancangan Umum Pengadaan (RUP) DPA TA 2022",2022/03/31,"Bagian Keuangan Bu Susi",EDARAN,,,
860,949,068.Mar/2022,420/002/2022,2022-03-29,"Permohonan praktek kerja industri","SMKN 2 Surakarta","Permohonan praktek kerja industri",2022/03/29,"Bagian Pelayanan Fasilitasi",PERMOHONAN,,,
861,948,067.Mar/2022,113/PN.01.01/III/2022,2022-03-28,"Undangan Rapat pembahasan buku panduan dan jadwal pelaksanaan lomba krenova","Balitbang Surakarta","Undangan Rapat pembahasan buku panduan dan jadwal pelaksanaan lomba krenova",2022/03/29,"Bagian Kerjasama Mas Susilo",UNDANGAN,2022/04/30,13:00,Balitbangda
862,947,066.Mar/2022,112/PN.01.01/III/2022,2022-03-28,"Undangan rakor capaian kinerja dan keuangan UPT BLUD Solo Technopark tahun 2021 dan RBA Solo Technopark tahun 2022",,"Undangan rakor capaian kinerja dan keuangan UPT BLUD Solo Technopark tahun 2021 dan RBA Solo Technopark tahun 2022",2022/03/29,"Sudah Di hadiri",UNDANGAN,2022/04/01,8:30,Balitbangda
863,946,065.Mar/2022,073/UN27.02.7.23/DP/2022,2022-03-26,"Permohonan magang industri",UNS,"Permohonan magang industri",2022/03/29,"Bagian Pelayanan Fasilitasi",,,,
864,945,064.Mar/2022,0457/PL43/PK.01.06/2022,2022-03-28,"Permohonan Izin magang industri","Politeknik Negeri Cilacap","Permohonan Izin magang industri",2022/03/29,"Bagian Pelayanan",PERMOHONAN,"18 Juli - 18 Des 2022",,
865,944,063.Mar/2022,email,2022-03-28,"VAR-rate change notification letter",GOJEK,"VAR-rate change notification letter",2022/03/29,"Bagian Kerjasama Pak Susilo, Arsip",,,,
866,943,062.Mar/2022,001/STM-170-III-2022,2022-03-28,"Penjajakan PT Sinar Tanputra Mandiri","PT Sinar Tanputra Mandiri","Penjajakan PT Sinar Tanputra Mandiri",2022/03/29,"Sudah di hadiri",,,,
867,942,061.Mar/2022,,2022-03-25,"Test drive kandidat driver Shopee Express","Shopee Express","Test drive kandidat driver Shopee Express",2022/03/29,"Bagian Umum :Danang, Untung",PERMOHONAN,"28 Mar - 30 Mar 2022",,
868,941,060.Mar/2022,837/PF.00.III.2022,2022-03-21,"Undangan Rakor forum pengembangan ekonomi lokal (PEL-FEDED)","Bappeda Surakarta","Undangan Rakor forum pengembangan ekonomi lokal (PEL-FEDED)",2022/03/23,"Bagian Inkubator Mas Danu, Mas Christian",UNDANGAN,2022/03/30,12:30,Balaikota
869,940,059.Mar/2022,,0000-00-00,"Undangan acara pergelaran wayang kulit dalam rangka dies natalis ke-46 UNS",UNS,"Undangan acara pergelaran wayang kulit dalam rangka dies natalis ke-46 UNS",2022/03/28,"Bila ada yang longgar",UNDANGAN,2022/03/28,19:30,"Ballroom gedung Ki Hajar Dewantara"
870,939,058.Mar/2022,B.285/SM/WU/III/2022,2022-03-23,"Rakornas Transformasi Digital dan pendataan lengkap KUMKM tekstur 2022","KEMENKOP UKM","Rakornas Transformasi Digital dan pendataan lengkap KUMKM tekstur 2022",2022/03/28,"Bagian Inkubator Mas Danu",UNDANGAN,2022/03/28,,
871,938,057.Mar/2022,PP.05/993/2022,2022-03-15,"Surat Edaran walikota Ska","Walikota Surakarta","Surat Edaran Walikota Ska Tentang Dokumen Arahan dan Kebijakan Risiko Tahun 2022",2022/03/25,,EDARAN,,,
872,937,056.Mar/2022,RP.05/993/2022,2022-03-15,"Surat edaran walikota Surakarta tentang dokumen arahan dan kebijakan penilaian resiko tahun 2022","Walikota Surakarta","Surat edaran walikota Surakarta tentang dokumen arahan dan kebijakan penilaian resiko tahun 2022",2022/03/25,"Bagian Keuangan, Bu Susi dan mas Agus",EDARAN,,,
873,936,055.Mar/2022,213/SMKBK/E.2/III/2022,2022-03-15,"Permohonan penguji eksternal Uji Kompetensi Keahlian(UKK) tahun pelajaran 2021/2022","SMK Bhineka Karya Surakarta","Permohonan penguji eksternal Uji Kompetensi Keahlian(UKK) tahun pelajaran 2021/2022",2022/03/23,"Bagian pelayanan&diklat fasilitasi",PERMOHONAN,"18 Apr - 12 Mei 2022",,
874,935,054.Mar/2022,421/091/SMK.01/2021,2022-03-08,"Permhonan tempat PKL","SMKN 1 Surakarta","Permohonan izin penelitian/survey mencari data",2022/03/23,"Bagian Pelayanan fasilitasi",PERMOHONAN,"20 Juni-17 Sept-22",,
875,934,053.Mar/2022,11/Und/RAT/KKKMS/III/2022,2022-03-17,"Undangan Rapat anggota tahunan kopkarmik tahun buku 2021",KOPKARMIK,"Permohonan izin penelitian/survey mencari data",2022/03/22,"Bagian Pelayanan",UNDANGAN,2022/03/25,16:30-20:00,Orient
876,933,052.Mar/2022,81/D.2-III/TA/2022,2022-03-22,"Permohonan izin penelitian/survey mencari data",UMS,"Permohonan izin penelitian/survey mencari data",2022/03/22,"Bagian Pelayanan dan difasilitasi",,,,
877,932,051.Mar/2022,,2022-03-22,"Perizinan kegiatan acara ""Indihome Borobudur Cup""",Shopee,"Perizinan kegiatan acara ""Indihome Borobudur Cup""",2022/03/22,"Bagian Umum :Danang, Oktaf, Untung",PERMOHONAN,2022/03/27,10:00,"Garena STP"
878,931,050.Mar/2022,24/Af-fikrIIE/EKS/III/2022,2022-02-14,"Permohonan personil/pemandu edukasi sains(SSC) disekolah",AL-Fikr,"Permohonan personil/pemandu edukasi sains(SSC) disekolah",2022/03/22,"Balasan sudah turun",PERMOHONAN,2022/03/25,09:00-10:00,Al-Fikr
879,930,049.Mar/2022,B-/99/IV/MR/3/2022,2022-03-18,"Undangan temu pengelola science center",BRIN,"Undangan temu pengelola science center",2022/03/22,"Sudah di hadiri",UNDANGAN,2022/03/28,8:30,"Zoom Meeting"
880,929,048.Mar/2022,RP.05/103/III/2022,0000-00-00,Undangan,"Setda ska","Undangan Desk pelapgran ropak dan pol simdalbangda bulan Januari dan Februari 2022, Rabu 23 Mar 22, 13.00-15.30, Setda ska",2022/03/22,,UNDANGAN,2022/03/23,13.00-15.30,"Setda ska"
881,928,047.Mar/2022,005/100/III/2022,2022-03-18,"Undangan rapat tindak lanjut pembahasan besaran kontribusi tahunan Bangun Guna Serah(BGS) pembangunan gedung baru pada sebagian tanah HP 105 Kel Jebres Surakarta","Balitbangsda Surakarta","Undangan rapat tindak lanjut pembahasan besaran kontribusi tahunan Bangun Guna Serah(BGS) pembangunan gedung baru pada sebagian tanah HP 105 Kel Jebres Surakarta",2022/03/18,"Sudah di hadiri",UNDANGAN,2022/03/22,9:00,"Balitbangsda Surakarta"
882,927,046.Mar/2022,TM.00.02/1047/2022,2022-03-17,"Undangan rapat Teknis TKKSD tentang Rencana Kerjasama antara pemkot Surakarta dan Pijar Foundation","Sekretariat Daerah","Undangan rapat Teknis TKKSD tentang Rencana Kerjasama antara pemkot Surakarta dan Pijar Foundation",2022/03/18,"Bagian Kerjasama Pak Susilo, Arsip",UNDANGAN,2022/03/21,10:00,"Zoom Meeting"
883,926,045.Mar/2022,045.1/354/2022,2022-03-17,"Permohonan Konsultasi dan studi Tiru","BAPPEDA KUDUS","Permohonan Konsultasi dan studi Tiru",2022/03/18,"Fasilitasi Bagian pelayanan pak christian",PERMOHONAN,2022/03/24,8:30,STP
884,925,044.Mar/2022,Petro.01/012/III/2022,2022-03-01,"Pemberitahuan Program Pelatihan welder upgrade bintuni",Petrotekno,"Pemberitahuan Program Pelatihan welder upgrade bintuni",2022/03/18,"Bagian Pelayanan",EDARAN,"Mulai 7-Mar-22",,
885,924,043.Mar/2022,,2022-03-14,"Kolaborasi dan perizinan penggunaan branding ""pekan mahasiswa""","Tunas Bertumbuh","Kolaborasi dan perizinan penggunaan branding ""pekan mahasiswa""",2022/03/17,Arsipkan,PERMOHONAN,"13-Mar - 20-Mar-22",13:00,"Online Youtube Tunas Bertumbuh"
886,923,042.Mar/2022,DG.0.04/97/III/2022,2022-03-15,"Pinjam tempat parkir operasi pasar minyak goreng","Kelurahan Jebres","Pinjam tempat parkir operasi pasar minyak goreng",2022/03/16,Arsipkan,PERMOHONAN,2022/03/17,8:00,
887,922,041.Mar/2022,800/330,2022-03-10,"Permohonan penguji eksternal Ujian Kompetensi Kejujuran (UKK) Nasional Teknik Pengelasan","SMKN 1 KISMANTORO","Permohonan penguji eksternal Ujian Kompetensi Kejujuran (UKK) Nasional Teknik Pengelasan",2022/03/16,"Bagian Pelayanan",PERMOHONAN,2022/03/21,,
888,921,040.Mar/2022,PG.00/1001/2022,2022-03-15,"Undangan desk inputting sirup DPA TA 2022","Sekretariat Daerah","Undangan desk inputting sirup DPA TA 2022",2022/03/16,"Bagian Keuangan, Bu Susi",UNDANGAN,2022/03/17,09:00-09:30,"Ruang rapat LPSE"
889,920,039.Mar/2022,789/TN.39/III/2022,2022-03-15,"Undangan rakor rencana kerjasama ketahanan pangan Kota Surakarta melalui kegiatan food sharing","Bappeda Surakarta","Undangan rakor rencana kerjasama ketahanan pangan Kota Surakarta melalui kegiatan food sharing",2022/03/16,"Sudah di hadiri",UNDANGAN,2022/03/17,8:30,Bappeda
890,919,038.Mar/2022,62/D.2-III/TO/III/2022,2022-03-15,"Permohonan izin penelitian/survey mencari data",UMS,"Permohonan izin penelitian/survey mencari data",2022/03/16,"Fasilitasi bp christian, bp budi",PERMOHONAN,,,
891,918,037.Mar/2022,email,2022-03-15,"Exclusive Interview Proposal","Solo Capital","Exclusive Interview Proposal",2022/03/15,,PERMOHONAN,,,
892,917,036.Mar/2022,-,2022-03-13,"Permohonan bantuan zoom meeting 'Statistics Study Group""","Excecutive by Pinvois","Permohonan bantuan zoom meeting 'Statistics Study Group""",2022/03/15,difasilitasi,PERMOHONAN,2022/03/25,13:00,"Zoom Meeting"
893,916,035.Mar/2022,88/005/III/2022,2022-03-15,"Undangan Rakor Penyampaian besaran kontribusi sewa pemanfaatan bangunan gedung ex teaching factory dan kontribusi bangun guna seraj pembangunan gedung di sebagian tanah HP.105 kel Jebres, kec Jebres Ska","Balitbangda Surakarta","Undangan Rakor Penyampaian besaran kontribusi sewa pemanfaatan bangunan gedung ex teaching factory dan kontribusi bangun guna seraj pembangunan gedung di sebagian tanah HP.105 kel Jebres, kec Jebres Ska",2022/03/15,"Sudah di hadiri",UNDANGAN,2022/03/16,10:00,STP
894,915,034.Mar/2022,-,2022-03-13,"Kolaborasi dan perizinan penggunaan branding""Behind the gamework & Class"" setiap minggu ke-3&4 setiap bulan,13:00 Hybrid online offline area GOTO-Shopee-Garena STP","Excecutive by Pinvois","Kolaborasi dan perizinan penggunaan branding""Behind the gamework & Class"" setiap minggu ke-3&4 setiap bulan,13:00 Hybrid online offline area GOTO-Shopee-Garena STP",2022/03/15,,PERMOHONAN,"Setiap Minggu ke-3&4 setiap Bulan",13:00,"GOTO, Shopee, Garena STP"
895,914,033.Mar/2022,015/037,2022-03-14,"Visitasi Penilaian Penghargaan Desa Mandiri Energi(DME) dan penghargaan gerakan Hemat Energi dan Air(HEA) Tahun 2022","Dinas Energi dan Sumber Daya Mineral","Visitasi Penilaian Penghargaan Desa Mandiri Energi(DME) dan penghargaan gerakan Hemat Energi dan Air(HEA) Tahun 2022",2022/03/15,"Bagian Umum/Mas Oktaf, Bagian Keuangan / Bu Susi",PERMOHONAN,,,
896,913,032.Mar/2022,56/D.2-II/TA/III,2022-03-12,"Permohonan izin penelitian/survey mencari data",UMS,"Permohonan izin penelitian/survey mencari data",2022/03/15,"Bagian Pelayanan/Fasilitasi",PERMOHONAN,,,
897,912,031.Mar/2022,-,2022-03-14,"Perizinan kegiatan acara ""Nongkrong bareng di Shopee""",Shopee,"Perizinan kegiatan acara ""Nongkrong bareng di Shopee""",2022/03/14,,PERMOHONAN,"12 Mar 22 -10Apr 22",8:00,"Garena STP"
898,911,030.Mar/2022,422/200.5/101.6.18.14/2022,2022-02-03,"Permohonan Kunjungan Industri","SMKN 1 Seneng Ngawi","Permohonan Kunjungan Industri",2022/03/14,,PERMOHONAN,2022/03/31,8:30,STP
899,910,029.Mar/2022,K1/490/III/2022,2022-03-10,"Undangan Registrasi dan verifikasi tanda tangan elektrik","DISKOMINFO SPI","Undangan Registrasi dan verifikasi tanda tangan elektrik",2022/03/14,,UNDANGAN,,,
900,909,028.Mar/2022,KS.07.01/788/III/2022,2022-03-10,"Undangan, Jadwal pelaksanaan vaksinasi covid-19 dosis lanjutan(booster) bagi pegawai/staff dilingkungan kerja","Puskesmas Ngoresan","Undangan, Jadwal pelaksanaan vaksinasi covid-19 dosis lanjutan(booster) bagi pegawai/staff dilingkungan kerja",2022/03/10,,UNDANGAN,,,
901,908,027.Mar/2022,32/D.2-III/TA/III/2018,2022-03-07,"Permohonan izin penelitian/survey mencari data","UMS Surakarta","Permohonan izin penelitian/survey mencari data",2022/03/10,,PERMOHONAN,,,
902,907,026.Mar/2022,035/061015.114/D/2022,2022-03-09,"Pengajuan permohonan narasumber","UNIBA Surakarta","Penjuan permohonan narasumber",2022/03/10,,PERMOHONAN,,,
903,906,025.Mar/2022,SRT-0051/SKKMI6000/2022/50,2022-03-08,"Persiapan Migas Corner-STP oleh kepala SKK Migas",SKKMIGAS,"Persiapan Migas Corner-STP oleh kepala SKK Migas",2022/03/10,,PERMOHONAN,,,
904,905,024.Mar/2022,KA.00/896/2022,2022-03-08,"Undangan, Penyerahan tata daerah dinas kepala perangkat daerah se kota Surakarta sekaligus Sekretaris Daerah Kota Surakarta","Sekretariat Daerah","Undangan, Penyerahan tata daerah dinas kepala perangkat daerah se kota Surakarta sekaligus Sekretaris Daerah Kota Surakarta",2022/03/09,,UNDANGAN,,,
905,904,023.Mar/2022,KP.05/829/2022,2022-03-02,"Surat Edaran tentang penysunan pelaporan pengendalian kegiatan APBD di lingkungan pemerintah Kota Surakarta tahun anggaran 2022","Sekretariat Daerah","Surat Edaran tentang penysunan pelaporan pengendalian kegiatan APBD di lingkungan pemerintah Kota Surakarta tahun anggaran 2022",2022/03/09,,EDARAN,,,
906,903,022.Mar/2022,KA.02/4CG/III/2022,2022-03-07,"Permohonan data personil pengelola kearsipan","Dinas Perspustakaan dan kearsipan","Permohonan data personil pengelola kearsipan",2022/03/09,,PERMOHONAN,,,
907,902,021.Mar/2022,KI/482/III/2022,2022-03-08,"Mengajukan peminjaman fasilitas ruang cyber security UPT Solo Tehnopark","DISKOMINFO STAPER","Mengajukan peminjaman fasilitas ruang cyber security UPT Solo Tehnopark",2022/03/09,,PERMOHONAN,,,
908,901,020.Mar/2022,"01/BNT-I/CII/March 2000",2022-03-07,"Berita acara serah terima ruangan gedung TF","Berita acara serah terima","Berita acara serah terima ruangan gedung TF",2022/03/09,,PERMOHONAN,,,
909,900,019.Mar/2022,003/CII-03/2022,2022-03-08,"Percepatan penyelasaian pekerjaan penutupan pagar area proyek","Shopee Technopark Project Surkarta","Percepatan penyelasaian pekerjaan penutupan pagar area proyek",2022/03/09,,EDARAN,,,
910,899,018.Mar/2022,email,2022-03-08,"Undangan pimpinan dan team dari UPT Solo Techno Park Jebres Solo untuk menghadiri dan bersedia memberikan kata sambutan untuk acara-acara ground breaking dimulainya proyek Shopee Technopark","Rahmat Daresa Alam","Undangan pimpinan dan team dari UPT Solo Techno Park Jebres Solo untuk menghadiri dan bersedia memberikan kata sambutan untuk acara-acara ground breaking dimulainya proyek Shopee Technopark",2022/03/09,,UNDANGAN,,,
